Tweet,Type
السلام عليكم لدي عامل انتهي جواز السفر وتم تجديد الجواز ولكن لاسف لا استطيع عبر منصه ابشر تحديث بيانات الجواز الجديد كيف يتم ذلك,1
سلام عليكم عندي اضافه مولود ولما ادخل ابشر واضغط علي تسجيل مواليد يقولي لا يمكنك الاستفاده من ذي الخدمه,1
عفوا موقع ابشر لما اضغط ع تسجيل مواليد يقولي ليس لديك بيانات مسجله,1
اخواني الافاضل هل تم الغاء تجديد رخصه سير الدراجات الناريه عبر منصه ابشر ارجو التوضيح مشكورين,1
ادخلي ابشر بعدين خدمات بعدين الاحوال المدنيه بعدين المعلومات الشخصيه وتلقينه موجود,2
ادخلي ابشر بعدين خدمات بعدين الاحوال المدنيه بعدين المعلومات الشخصيه وتلقينه موجود,4
ادخلي ابشر بعدين خدمات بعدين الاحوال المدنيه بعدين المعلومات الشخصيه وتلقينه موجود,4
ادخلي ابشر بعدين خدمات بعدين الاحوال المدنيه بعدين المعلومات الشخصيه وتلقينه موجود,4
ادخلي ابشر بعدين خدمات بعدين الاحوال المدنيه بعدين المعلومات الشخصيه وتلقينه موجود,4
ادخلي ابشر بعدين خدمات بعدين الاحوال المدنيه بعدين المعلومات الشخصيه وتلقينه موجود,4
فرجتمعابشر حالهانسانيه ✅مسجله في منصهاحسان  ♦️ابدا يومك بصدقه تدفع عنك بلاء لايعلمه الا اله سبحانه ♦️تكفون ياهل الخير فزعتكم نقفل فاتوره ♦️تكفون ساعدوه ولو بالقليل عنداله بكثير🌾 ♦️اولاده سته محرومين من ابوهم رابط الحاله,0
حبلعلي قدم لكم خدمات الكترونيه بكل دقه وخصوصيه دعم ريف استخراج وثيقه عمل حرفوريه فتح حساب ابشر فتح حساب بنكي حجز مواعيد الاحوال التسجيل في طاقاتقياسجود الاسكان فتح حساب بيت كوم لوظايف ايميلات تصاميم حسب الطلب,0
وعليكم السلام يمكنك الاستفاده من خدمه تواصل المتاحه في منصه ابشر لنتمكن من معالجه طلبك سعدنا بتواصلك,2
تلقينا رساله من وزاره الحج بدفع مبلغ الحجز ودفعنا في 28 يونيو لدينا رقم الحجز الان لم نستلم تصريح الحج من ابشر moi يرجي ارشادي في هذا الامر نحاول الاتصال بابشر يوجد كمبيوتر انشاء عامل الرجاء مساعدتي لهذه المشكله,1
وعليكم السلام يتم طلب طباعه هويه مقيم عبر منصه ابشر والاستلام عبر البريد السعودي سعدنا بتواصلك,2
وعليكم السلام بامكانك تجديد هويه مقيم وتمديد تاشيره الخروج والعوده لمن هم خارج الملكه الكترونياً بعد سداد الرسوم عبر خدمه سداد من خلال منصه ابشر او مقيم لصاحب العمل شاكرين تواصلك,2
الامارات 🍀تفريج كربه 🍀 لاتنسوا فضل الصدقه ياهل الخير تكفون تكفون تكفون ابي مساعدتكم سواء بنشر تغريدتي او مساعدتي بما تجود به نفوسكم اله يبارك لكم في مالكم ويكتب اجركم الهم سخر لي عبادك الصالحين فاتوره التنفيذ 213402878 منصهاحسان فرجت فرجتمعابشر,0
✅تم التحق ربي اسالك في هذه الساعه ان ترزق كل من يساهم بسداد وتعطيه ما يتمني وتجعلها حجابا له وعن والديه من النار فاتوره التنفيذ القضائي 202078514 لا تنسوني من صدقاتكم صدقهجاريه منصهاحسان فرجتمعابشر فرجت الامارات,0
الغاء مهني وفردي هروب بخطاب وبدون خطاب بلاغ هروب اقامه منتهيه تخفيض المقابل المالي اصدار كرت عمل تعديل رسوم من 650 الي 750 تعديل من مهني الي فردي الغاء بصمه ترحيل بصمه حج الغاء مخالفات نقل كفاله استخراج تاشيرات تواصل خاص,0
وعليكم السلام بامكانك تمديد تاشيره الخروج والعوده لمن هم خارج الملكه الكترونياً بعد سداد الرسوم عبر خدمه سداد من خلال منصه ابشر او مقيم لصاحب العمل شاكرين تواصلك,2
عندي عامل ابغا انقل كفالته باسمي سويت طلب من منصه قوي وظهرت لي الملاحظه في ابشر لايوجد موافقه من مكتب العمل,1
عندي نفس المشكله مع اني فعلت وجتني رساله التفعيل,3
الحرسالملكي وماتنفقوا من خير تجدوه عند اله 💢عائل لا اسره 💢 يعول 5 ابناء والدته وهوالعائل الوحيد لهم ظروفه صعبه وتراكم الديون وايقاف خدمات فاتوره رسميه من وزاره العدل✅ رقم فاتوره التنفيذ2127020585 المتبقي510 🔺لاتقبل السداد اقل من50﷼ فرجتمعابشر,0
كيفنتزودلاخره وماتنفقوا من خير تجدوه عند اله 💢عائل لا اسره 💢 يعول 5 ابناء والدته وهوالعائل الوحيد لهم ظروفه صعبه وتراكم الديون وايقاف خدمات فاتوره رسميه من وزاره العدل✅ رقم فاتوره التنفيذ2127020585 المتبقي510 🔺لاتقبل السداد اقل من50﷼ فرجتمعابشر,0
راقتلي وماتنفقوا من خير تجدوه عند اله 💢عائل لا اسره 💢 يعول 5 ابناء والدته وهوالعائل الوحيد لهم ظروفه صعبه وتراكم الديون وايقاف خدمات فاتوره رسميه من وزاره العدل✅ رقم فاتوره التنفيذ2127020585 المتبقي510 🔺لاتقبل السداد اقل من50﷼ فرجتمعابشر,0
الامارات وماتنفقوا من خير تجدوه عند اله 💢عائل لا اسره 💢 يعول 5 ابناء والدته وهوالعائل الوحيد لهم ظروفه صعبه وتراكم الديون وايقاف خدمات فاتوره رسميه من وزاره العدل✅ رقم فاتوره التنفيذ2127020585 المتبقي510 🔺لاتقبل السداد اقل من50﷼ فرجتمعابشر,0
اهلًا بك يتم حجز موعد عبر منصه ابشر لصاحب العمل برقم هويه مقيم لوافد ويتم مراجعه اداره الجوازات من قبل صاحب العمل او الشخص المفوض من قبله سعدنا بتواصلكم,2
عمانالسعوديهمستقبلمشرق وماتنفقوا من خير تجدوه عند اله 💢عائل لا اسره 💢 يعول 5 ابناء والدته وهوالعائل الوحيد لهم ظروفه صعبه وتراكم الديون وايقاف خدمات فاتوره رسميه من وزاره العدل✅ رقم فاتوره التنفيذ2127020585 المتبقي510 🔺لاتقبل السداد اقل من50﷼ فرجتمعابشر,0
